asset_name;asset_category;english_word;german_word;italian_audio_file;image_filename;file_type;image_width;image_height;source;url;license;download_date;attribution_text;attribution_html
vegetables;categories;;;;vegetables-1105635_640.jpg;JPG;640;426;Pixabay;https://pixabay.com/illustrations/vegetables-food-fresh-tomato-1105635/;Pixabay Content License as defined in Pixabay Terms of Service,  Last updated: November 18, 2024;March 23, 2025;Image byﾠPrawnyﾠfromﾠPixabay ;"Image by <a href=""https://pixabay.com/users/prawny-162579/?utm_source=link-attribution&utm_medium=referral&utm_campaign=image&utm_content=1105635"">Prawny</a> from <a href=""https://pixabay.com//?utm_source=link-attribution&utm_medium=referral&utm_campaign=image&utm_content=1105635"">Pixabay</a>"
fruits;categories;;;;fruit-4202929_640.png;PNG;640;541;Pixabay;https://pixabay.com/vectors/fruit-banana-apple-healthy-fresh-4202929/;Pixabay Content License as defined in Pixabay Terms of Service,  Last updated: November 18, 2024;April 1, 2025;Image by Mark Baird from Pixabay ;"Image by <a href=""https://pixabay.com/users/aceclipart_etsy-9882986/?utm_source=link-attribution&utm_medium=referral&utm_campaign=image&utm_content=4202929"">Mark Baird</a> from <a href=""https://pixabay.com//?utm_source=link-attribution&utm_medium=referral&utm_campaign=image&utm_content=4202929"">Pixabay</a>"
